userId,surveyType,Anger-Ag,Wanting-Dr,Dread-Ax,Sad-S,Easygoing-R,Grossed-Out-Dg,Happy-H,Terror-F,Rage-Ag,Grief-S,Nausea-Dg,Anxiety-Ax,Chilled-Out-R,Desire-Dr,Nervous-Ax,Lonely-S,Scared-F,Mad-Ag,Satisfaction-H,Sickened-Dg,Empty-S,Craving-Dr,Panic-F,Longing-Dr,Calm-R,Fear-F,Relaxation-R,Revulsion-Dg,Worry-Ax,Enjoyment-H,Pissed-Off-Ag,Linking-H,username,userGroup,userLoginTime,surveyTime
1d9q7kjy6qi7s,deq,2,3,2,3,5,2,4,2,1,3,1,3,5,2,3,2,2,1,4,1,2,2,1,3,3,2,4,1,3,4,1,3,farm54928,FrankKeyboard,2021-01-15-21-50-45,2021-01-16-21-06-48
1d9q7kk0peh3x,deq,1,2,1,1,5,2,4,1,1,1,1,3,4,1,1,3,1,1,2,1,2,4,1,2,5,1,3,1,2,4,4,4,nervous19303,Frank,2021-01-17-18-35-36,2021-01-17-20-29-48
1d9q7kjy6qi7s,deq,2,3,2,1,5,1,5,1,1,2,1,2,5,2,2,2,2,1,4,1,2,1,1,3,4,2,5,1,2,4,1,4,farm54928,FrankKeyboard,2021-01-15-21-50-45,2021-01-17-20-49-02
1d9q7kk2dwzfg,deq,4,5,3,2,2,1,3,1,1,1,1,3,2,2,3,3,2,2,3,1,2,4,1,2,1,1,1,1,3,2,3,2,officer79649,FrankKeyboard,2021-01-18-20-19-14,2021-01-18-20-25-14
1d9q7kk1lzj2d,deq,1,6,2,4,2,1,1,1,1,2,1,2,2,4,2,Quite a bit,1,1,1,1,3,3,1,5,2,1,2,1,3,2,1,2,examine85198,FrankKeyboard,2021-01-18-07-21-41,2021-01-18-21-13-49
1d9q7kk2gv30b,deq,1,4,2,2,3,1,2,1,1,1,2,4,2,1,3,1,2,1,2,1,1,3,3,1,2,3,2,1,3,3,1,3,strong95446,FrankKeyboard,2021-01-18-21-44-17,2021-01-18-21-50-06
1d9q7kk0peh3x,deq,1,3,2,1,4,1,3,1,1,1,3,3,5,1,2,3,1,1,3,1,2,1,1,1,5,1,4,1,1,2,1,3,nervous19303,Frank,2021-01-17-18-35-36,2021-01-18-21-52-41
1d9q7kk2k2ajc,deq,1,2,1,3,6,1,6,1,1,2,1,1,5,3,2,1,2,1,5,1,1,1,1,1,5,2,5,1,2,7,1,4,taught80221,Keyboard,2021-01-18-23-17-11,2021-01-19-21-08-01
1d9q7kk3o9ict,deq,1,2,1,1,5,1,5,1,1,1,1,2,5,2,3,1,1,1,4,1,1,1,3,1,3,1,5,1,2,4,1,2,final08746,Frank,2021-01-19-18-00-03,2021-01-19-21-24-41
1d9q7kk27xl5s,deq,1,3,3,2,3,1,3,2,1,1,1,4,2,4,4,1,2,1,2,1,2,2,4,2,3,3,2,1,4,3,1,2,wild73075,FrankKeyboard,2021-01-18-17-38-00,2021-01-19-21-25-19
1d9q7kk3kodkf,deq,4,7,4,3,2,1,2,1,2,2,1,5,2,4,3,4,2,3,2,1,2,3,1,4,2,2,1,1,4,2,4,2,anything52840,Frank,2021-01-19-16-23-49,2021-01-19-21-35-02
3fr8f68kk3vxu1c,deq,4,2,5,4,4,2,4,2,4,1,1,5,3,2,5,4,2,4,3,1,1,3,4,1,2,4,2,3,5,5,4,2,newspaper21707,FrankKeyboard,2021-01-19-21-34-21,2021-01-19-21-40-00
dm5a7kk56qr3i,deq,1,3,1,4,1,1,2,1,1,2,7,2,1,1,2,3,1,1,2,1,2,1,1,3,2,1,2,1,2,2,1,2,moon57852,Frank,2021-01-20-19-24-06,2021-01-20-20-26-09
1d9q7kk27xl5s,deq,1,1,1,1,6,1,6,1,1,1,1,1,6,4,1,1,1,1,6,1,1,1,1,1,4,1,6,1,1,7,1,5,wild73075,FrankKeyboard,2021-01-18-17-38-00,2021-01-20-20-47-35
1d9q7kk3kodkf,deq,3,5,3,3,3,1,2,1,1,2,1,3,3,3,2,Quite a bit,2,3,1,1,3,3,1,3,2,2,3,2,5,2,2,2,anything52840,Frank,2021-01-19-16-23-49,2021-01-20-20-56-02
