userId,username,userGroup,userLoginTime,surveyType,surveyTime,Joy_Survey,Disgust_Survey,Fear_Survey,Sadness_Survey,Anger_Survey
1d9q7kjy6qi7s,farm54928,FrankKeyboard,2021-01-15-21-50-45,morningMoods,2021-01-18-08-08-36,7,2,4,3,2
1d9q7kjy6qi7s,farm54928,FrankKeyboard,2021-01-15-21-50-45,eveningMoods,2021-01-18-16-26-48,7,2,3,2,1
1d9q7kjy6qi7s,farm54928,FrankKeyboard,2021-01-15-21-50-45,morningMoods,2021-01-19-08-52-14,7,1,1,1,1
1d9q7kjy6qi7s,farm54928,FrankKeyboard,2021-01-15-21-50-45,eveningMoods,2021-01-22-16-58-09,7,3,3,1,4
1d9q7kk0peh3x,nervous19303,Frank,2021-01-17-18-35-36,morningMoods,2021-01-18-08-26-37,1,2,1,2,1
1d9q7kk0peh3x,nervous19303,Frank,2021-01-17-18-35-36,morningMoods,2021-01-19-10-28-31,1,1,1,3,4
1d9q7kk0peh3x,nervous19303,Frank,2021-01-17-18-35-36,morningMoods,2021-01-20-09-10-49,1,1,1,1,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,morningMoods,2021-01-19-09-39-06,5,2,1,7,4
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,eveningMoods,2021-01-19-16-29-24,2,1,1,7,2
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,morningMoods,2021-01-20-08-24-24,4,1,1,6,2
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,morningMoods,2021-01-21-08-00-31,4,1,1,6,2
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,afternoonMoods,2021-01-21-12-00-30,4,1,1,3,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,eveningMoods,2021-01-21-17-48-29,6,1,5,2,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,morningMoods,2021-01-22-08-52-47,2,1,4,2,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,afternoonMoods,2021-01-22-12-00-29,2,1,4,2,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,eveningMoods,2021-01-22-17-52-55,1,1,4,3,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,morningMoods,2021-01-23-08-34-17,3,3,1,2,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,afternoonMoods,2021-01-23-12-38-57,3,1,3,4,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,eveningMoods,2021-01-23-16-01-44,1,1,2,5,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,morningMoods,2021-01-24-08-24-04,2,1,3,4,2
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,afternoonMoods,2021-01-24-12-01-44,3,1,4,5,1
1d9q7kk1lzj2d,examine85198,FrankKeyboard,2021-01-18-07-21-41,eveningMoods,2021-01-24-16-36-08,2,1,1,4,2
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-18-17-41-55,7,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-19-10-10-05,3,1,3,2,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-19-16-03-10,3,1,5,3,2
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-20-08-05-18,5,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,afternoonMoods,2021-01-20-13-06-06,5,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-20-16-23-14,5,3,3,4,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-21-08-04-41,4,6,1,3,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,afternoonMoods,2021-01-21-12-09-23,6,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-21-16-02-54,3,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-22-08-24-18,3,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,afternoonMoods,2021-01-22-12-05-28,6,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-22-17-12-57,3,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-23-08-27-45,3,1,1,3,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,afternoonMoods,2021-01-23-12-01-46,3,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-23-17-08-35,5,1,1,5,5
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-24-09-09-27,7,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,afternoonMoods,2021-01-24-13-08-41,5,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-24-16-55-58,6,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,morningMoods,2021-01-25-08-05-10,6,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,afternoonMoods,2021-01-25-12-14-02,4,1,1,1,1
1d9q7kk27xl5s,wild73075,FrankKeyboard,2021-01-18-17-38-00,eveningMoods,2021-01-25-16-54-51,6,1,1,1,1
1d9q7kk2dwzfg,officer79649,FrankKeyboard,2021-01-18-20-19-14,morningMoods,2021-01-20-08-22-49,1,1,1,4,3
1d9q7kk2dwzfg,officer79649,FrankKeyboard,2021-01-18-20-19-14,eveningMoods,2021-01-20-16-52-58,4,1,1,2,2
1d9q7kk2dwzfg,officer79649,FrankKeyboard,2021-01-18-20-19-14,morningMoods,2021-01-21-10-31-09,3,1,1,2,1
1d9q7kk2dwzfg,officer79649,FrankKeyboard,2021-01-18-20-19-14,morningMoods,2021-01-22-08-54-25,1,1,1,5,1
1d9q7kk2dwzfg,officer79649,FrankKeyboard,2021-01-18-20-19-14,afternoonMoods,2021-01-24-13-24-40,1,1,1,4,1
